5periodo;4periodo;3periodo;2periodo;1periodo;10periodo
114,06582410452828;134,68818219346292;0,32792564165395194;0,467836402421301;1,0789504106350287;196,18374704033366
176,15301100969089;182,44123908525694;90,71187699625689;80,80015166433854;41,52155061577497;214,80800193434786
196,45631368776043;203,93248369046623;140,9317756848121;128,7551347917744;106,57444278920161;222,28327378346108
206,10436435049954;211,7079291693485;159,75085080962404;157,5204309352885;140,72435762325225;226,92626039125545
212,25569208135929;216,152811476999;176,77071129112554;175,72221957078074;162,11944226550588;229,50232164742656
216,35682666096724;218,83141944353602;185,61328942741554;183,63600199409697;176,5706519908965;230,9992830316618
219,37429575072818;221,33120083246385;194,55808307196568;192,88132487830794;187,00659202666105;232,3858520291749
221,88788930058925;224,4815682990501;198,19003038111043;199,73218414522088;187,73919358928026;233,22557229431695
223,5962561789263;225,33428270189194;203,12322057834973;202,21717833296947;194,6035628124894;221,8989015794383
225,30286586371278;226,4827103009273;205,4146167412534;206,85052161146356;200,02987662159316;200,10452776807568
226,69987117352036;227,31011620851237;209,28624947152466;207,91774023962648;204,21458073523445;181,9057368689172
227,5973560406597;229,04032604604578;210,79890811576317;211,06959726081368;208,32399959299113;166,7455177855493
228,504478688395;229,24804654065267;213,45916930909274;214,18249426768514;211,95508038877145;153,91499227065478
229,27760610088555;229,35630224671732;214,367114699166;214,7232949454569;210,5954121077543;142,91877726504822
229,8563120204817;229,74875738774418;216,42716848724493;217,03355000577545;213,37518511276616;133,3876195233394
230,48034451378084;229,8186818968101;217,2726484335514;219,03659711378884;215,76759585942574;125,04543574376014
231,07360444618763;230,7597597629451;218,95264862146925;218,9877927495736;217,9534484987144;117,6907806046415
221,56651912294913;230,76020588529929;219,33274976656472;220,72159302316865;220,0012964358925;111,15392775857983
210,25131225161127;230,29968607625233;220,64787616191649;222,40574216372266;221,44184035567875;105,30543960422256
200,04383618662146;230,4984490679578;221,17600868384932;222,25940877945544;219,73919626012392;NaN
190,23439919553172;230,58660488288146;222,20764056819118;223,54019150379665;220,91288012854537;NaN
181,8373235902717;227,05111727436815;222,27143678295053;224,55872516360213;222,17945083978194;NaN
173,6922815598931;217,0709259522068;223,35133162857997;224,33516179734755;223,3999450128572;NaN
166,66945903494442;208,16505694314537;223,46845110343872;225,38071674259982;224,51539833304608;NaN
159,80667606981754;199,95869333872392;224,19742712381756;225,13822443616934;225,5316180610429;NaN
153,84341989297724;191,8138941871688;224,41450945489052;226,03899417473562;226,50731385566655;NaN
147,97988134793172;184,82894925326482;225,1772344679283;226,9415407709762;225,0217443333423;NaN
142,85163032101516;178,33168624405621;225,3664336270066;226,53929906862794;225,91383873875827;NaN
NaN;172,26984771316603;225,45269595881697;227,47164025517918;226,83025149035188;NaN
NaN;166,60889014914022;222,2603046558762;228,13016874754004;227,57048142389306;NaN
NaN;161,30632448537577;214,93956942765587;227,81191647573772;228,30955820835248;NaN
NaN;155,96677786133276;208,14571060490005;228,54921804011894;228,8471748564441;NaN
NaN;NaN;201,77145144613783;228,9828405496136;229,32458985645107;NaN
NaN;NaN;196,35672710116182;228,69728235971516;227,89703484364284;NaN
NaN;NaN;190,67382673464013;229,32906149294237;228,50023562823273;NaN
NaN;NaN;185,31093604465207;229,71742332360085;229,13473717015987;NaN
NaN;NaN;180,2403954400673;229,37069032748565;229,75743430385705;NaN
NaN;NaN;175,4406246388752;230,04315367463514;230,2865429518757;NaN
NaN;NaN;170,89059647356265;230,59368641294995;230,71938169507132;NaN
NaN;NaN;166,5688066169483;230,15471861777942;231,43077354571793;NaN
NaN;NaN;NaN;230,69262192919476;230,28390532468114;NaN
NaN;NaN;NaN;231,06737249275704;230,87470889353042;NaN
NaN;NaN;NaN;230,79812839308556;231,3069898671201;NaN
NaN;NaN;NaN;227,2726506030327;231,604575387173;NaN
NaN;NaN;NaN;221,89558280734335;231,97034436102987;NaN
NaN;NaN;NaN;217,48508913877856;232,1828044891982;NaN
NaN;NaN;NaN;212,5611182788143;232,58204963741414;NaN
NaN;NaN;NaN;208,51089338337883;231,5999617386387;NaN
NaN;NaN;NaN;203,98084291104837;232,03341805885918;NaN
NaN;NaN;NaN;200,24797963511094;232,4330367327336;NaN
NaN;NaN;NaN;196,0661241657087;232,77842521991292;NaN
NaN;NaN;NaN;192,05669734298556;233,14871454969997;NaN
NaN;NaN;NaN;188,74631159071677;233,4474291101494;NaN
NaN;NaN;NaN;185,02753648499882;232,54283632840085;NaN
NaN;NaN;NaN;NaN;232,8320386080807;NaN
NaN;NaN;NaN;NaN;233,1277719434057;NaN
NaN;NaN;NaN;NaN;233,43108433015152;NaN
NaN;NaN;NaN;NaN;233,80366448707488;NaN
NaN;NaN;NaN;NaN;234,1685098301319;NaN
NaN;NaN;NaN;NaN;233,20000313084205;NaN
NaN;NaN;NaN;NaN;233,49496177254613;NaN
NaN;NaN;NaN;NaN;233,8431030597503;NaN
NaN;NaN;NaN;NaN;234,13324641684403;NaN
NaN;NaN;NaN;NaN;234,31398707861615;NaN
NaN;NaN;NaN;NaN;234,54977367132759;NaN
NaN;NaN;NaN;NaN;234,75696865251956;NaN
NaN;NaN;NaN;NaN;233,96669254357343;NaN
NaN;NaN;NaN;NaN;234,31081167728044;NaN
NaN;NaN;NaN;NaN;234,5157187005893;NaN
NaN;NaN;NaN;NaN;234,7152676055572;NaN
NaN;NaN;NaN;NaN;234,97620595049585;NaN
NaN;NaN;NaN;NaN;235,23914220570524;NaN
NaN;NaN;NaN;NaN;234,50206526712333;NaN
NaN;NaN;NaN;NaN;234,80444822192962;NaN
NaN;NaN;NaN;NaN;235,0413437067605;NaN
NaN;NaN;NaN;NaN;235,22457354850062;NaN
NaN;NaN;NaN;NaN;235,38039942989812;NaN
NaN;NaN;NaN;NaN;235,5763217886247;NaN
NaN;NaN;NaN;NaN;234,847778801104;NaN
NaN;NaN;NaN;NaN;235,1017174385151;NaN
NaN;NaN;NaN;NaN;235,22755230484097;NaN
NaN;NaN;NaN;NaN;235,4409308441287;NaN
NaN;NaN;NaN;NaN;235,661090803998;NaN
NaN;NaN;NaN;NaN;235,88018350640078;NaN
NaN;NaN;NaN;NaN;234,89946509354368;NaN
NaN;NaN;NaN;NaN;232,38356943401965;NaN
NaN;NaN;NaN;NaN;229,92700473663515;NaN
NaN;NaN;NaN;NaN;227,5227793895627;NaN
NaN;NaN;NaN;NaN;224,40452534596585;NaN
NaN;NaN;NaN;NaN;222,11320896943144;NaN
NaN;NaN;NaN;NaN;219,86858994437154;NaN
NaN;NaN;NaN;NaN;217,668417375325;NaN
NaN;NaN;NaN;NaN;214,81188243394783;NaN
NaN;NaN;NaN;NaN;212,7108631073784;NaN
NaN;NaN;NaN;NaN;210,6511034479695;NaN
