4threads;3threads;2threads;1threads
0,8144951996584909;1,0788449515688388;1,0768460214664868;1,0789504106350287
42,5592534664321;40,696270211761;41,97912395603121;41,52155061577497
106,04184605472668;103,56931562872883;106,40767520561114;106,57444278920161
139,31118049367026;138,99501549210822;139,79584164183632;140,72435762325225
159,75454031195025;159,67986331620443;161,13443614511425;162,11944226550588
165,4871540212506;174,58945528162548;175,1644466202327;176,5706519908965
176,0230077456818;184,95397672702666;177,28637697395922;187,00659202666105
184,9847929209012;186,04997876526576;185,83644575836288;187,73919358928026
191,00574860280895;192,70946943393696;192,0869670905477;194,6035628124894
196,040598097786;198,34906467277884;197,34383071809992;200,02987662159316
200,5008797836057;202,9233646171031;202,16768010470633;204,21458073523445
199,2763662722421;206,75624577738526;206,48822220584663;208,32399959299113
202,80566494732565;209,68067877939342;204,6790155776257;211,95508038877145
205,87422515160637;207,9610793981265;207,78675048002626;210,5954121077543
208,72973754336545;210,79863196577455;210,24976339340802;213,37518511276616
211,0329731740821;213,00230569915126;212,3669589075745;215,76759585942574
213,27373459492387;214,9911257550993;214,41256111367903;217,9534484987144
211,6290541432493;216,95700379664427;216,72910144471177;220,0012964358925
213,66889812289762;218,44898034735783;218,083282539147;221,44184035567875
215,45765810375093;216,36757925013418;216,3914558420524;219,73919626012392
217,16983174918292;218,13886688681347;217,96177524322744;220,91288012854537
218,55883259014888;219,45123488623676;219,4781148925942;222,17945083978194
219,8975020431241;220,5886123626088;221,01835620961793;223,3999450128572
218,41619256795647;221,39761355296577;222,08041040435873;224,51539833304608
219,69550632377994;222,55486971274362;222,97208090258445;225,5316180610429
220,56239061321725;223,63284868993082;221,3634175551275;226,50731385566655
221,80785315785428;221,9653902134923;222,248186599663;225,0217443333423
222,78000559317172;222,8306005680193;223,12896347671185;225,91383873875827
223,52993274205247;223,706361736478;223,8823562764092;226,83025149035188
222,14035786272606;224,57447781418546;224,74714309493484;227,57048142389306
223,03612678453464;225,423616857579;225,35088337578634;228,30955820835248
223,58231776359997;226,2003044274547;226,02464215669886;228,8471748564441
224,35081337984374;224,7435963208841;224,6421322280691;229,32458985645107
224,98803067047615;225,49218696205725;225,31348019039723;227,89703484364284
225,72970256117895;226,1371229759571;226,1273850833249;228,50023562823273
226,32948317443422;226,77069543625575;226,68740759240225;229,13473717015987
226,66029853448734;227,42989271200454;227,27027945321765;229,75743430385705
225,41891998742156;227,93270787166318;227,77451058389178;230,2865429518757
225,88407977118527;228,48381624081364;226,62455166046706;230,71938169507132
226,26927662550585;227,43315822165255;227,24577440406833;231,43077354571793
226,6447092611805;228,02677778592147;227,7354577132074;230,28390532468114
226,87676019244975;228,4521362546067;228,16426535213702;230,87470889353042
227,37377596727515;228,8862361948596;228,71943007751062;231,3069898671201
227,73681483779987;229,45914786093127;229,28236637428117;231,604575387173
226,62352754213106;229,90883114015847;228,10206172980543;231,97034436102987
227,1800857960627;228,7706456455209;228,50527480494785;232,1828044891982
227,65410279385003;229,17080598344285;228,92817826123925;232,58204963741414
227,95848575962307;229,62452524284234;229,39162169939803;231,5999617386387
228,44812109116216;229,90773170704668;229,7296675273348;232,03341805885918
228,80138128690618;230,4014974939043;230,13299210262733;232,4330367327336
229,1294844493766;230,69622094106919;229,1225385388519;232,77842521991292
228,25422446518567;231,2333008003477;229,47159598243243;233,14871454969997
228,58634273507334;230,2452817311693;229,9787051515367;233,4474291101494
229,01747171748923;230,59156506189254;230,2748841515416;232,54283632840085
229,30012918481182;230,94102831632276;230,53191906307035;232,8320386080807
229,64895070625772;231,2715718519566;230,9207482491476;233,1277719434057
230,02672400773366;231,5142637728275;229,98150074678472;233,43108433015152
229,21059461528682;231,5097042058249;230,39677512223943;233,80366448707488
229,4958097127177;231,7483891871812;230,56376699026868;234,1685098301319
229,81974706830502;230,9184423475646;230,88216747095547;233,20000313084205
230,05152488738932;231,17908792588915;231,1255377338421;233,49496177254613
230,37076314900762;231,46482492702313;231,31740520612664;233,8431030597503
230,6595733279743;231,8348449539386;230,49534948975378;234,13324641684403
230,84514468312497;232,06173504646085;230,84485374996535;234,31398707861615
230,080079596819;232,37737976502788;231,03637201009;234,54977367132759
230,4241317016402;231,63508296864538;231,30489059762854;234,75696865251956
230,65524559501299;231,84026330249628;231,67856882475328;233,96669254357343
230,9316127017959;232,03024116251063;231,88313935891665;234,31081167728044
231,14600601828155;232,21862816797952;231,09596930104246;234,5157187005893
231,35573204348316;232,39485993975214;231,37093698262635;234,7152676055572
230,5995982153839;232,60319623350594;231,6092833826887;234,97620595049585
230,84017563105576;232,832889060632;231,84389336201463;235,23914220570524
231,1033797482834;232,14462968181215;232,1596183768091;234,50206526712333
231,3145632995211;232,4114110717202;232,30314119614187;234,80444822192962
231,52969546583972;232,65489711994945;231,62472868028934;235,0413437067605
231,76839582873995;232,88869669095976;231,88216995356586;235,22457354850062
231,0814236660285;233,0919826233406;232,17236281994224;235,38039942989812
231,30490768052363;233,34295081549075;232,39495013793143;235,5763217886247
231,54634116163183;232,65645200452806;232,7077025385487;234,847778801104
231,7510487212378;232,9385973628429;232,90992670923146;235,1017174385151
231,9475449916865;233,15215461652437;232,23449789674092;235,22755230484097
232,21766263959756;233,3068954696397;232,43925371286085;235,4409308441287
232,38825288804895;233,46664942499007;232,73089540927114;235,661090803998
231,73362710672237;233,66458561085764;232,91647800113353;235,88018350640078
231,9749868509712;232,8959433133681;233,07668157906699;234,89946509354368
232,13792254769768;232,21086279674316;232,42422245595364;232,38356943401965
229,7103019090175;229,75425731484677;229,96114624532512;229,92700473663515
227,31001536061876;227,3534362286967;226,77425053988316;227,5227793895627
224,19590766294803;225,00277528031268;224,43445561374287;224,40452534596585
221,9090558670507;221,9510093731798;222,1423557978715;222,11320896943144
219,66855835071073;219,70970593299594;219,8971274911986;219,86858994437154
217,4732331998015;217,51366462968778;216,9815543350577;217,668417375325
214,6221818845416;215,36137211313354;214,83774640507573;214,81188243394783
212,52522235413863;212,5646082109384;212,73683053273865;212,7108631073784
210,46919992530232;210,5073339051371;210,67636215131552;210,6511034479695
207,79614266717954;208,49011596645624;207,99889727493468;NaN
205,8301427047473;NaN;NaN;NaN
