4node;3node;2node;1node
0,8084369318988256;0,8094082559343665;1,0786727697858218;1,0789504106350287
40,85819440304063;0,4623034393780864;42,937691804749896;41,52155061577497
29,880185170825836;101,33613794937021;94,29679987648073;106,57444278920161
118,4597834716425;77,60203381995221;112,96926151467986;140,72435762325225
103,11238724018978;120,81271154722495;151,7224038198884;162,11944226550588
148,72575180886548;163,82846222029815;165,09868090215573;176,5706519908965
128,75488272133174;149,07794964155482;176,22707700965827;187,00659202666105
146,92461923274067;155,6358678780994;182,94564846126008;187,73919358928026
131,61082585115005;178,0581733314017;187,13729724791008;194,6035628124894
173,48438684638114;166,52417940657512;196,83307413903822;200,02987662159316
158,41542379588853;172,5660969996365;193,4729519160761;204,21458073523445
172,08372992763668;188,27361174006833;197,10526935748615;208,32399959299113
171,16348234788916;178,45398527782007;194,54583278867022;211,95508038877145
183,00720427344834;180,94970590990914;191,0575107943566;210,5954121077543
171,51917431893605;194,64608776921327;198,55619399594713;213,37518511276616
180,66992436423564;185,86115738008053;196,10814732972653;215,76759585942574
173,20890622452353;188,05503439356343;200,5476084971502;217,9534484987144
185,08099624974793;198,85433765266916;206,28856397838177;220,0012964358925
175,62741053145479;189,02677371478688;202,6129581320165;221,44184035567875
184,36039837103337;191,41573471417607;194,89822431591074;219,73919626012392
178,61678364581837;201,57276066570913;204,02771175765284;220,91288012854537
190,11995918090327;195,2439813620275;211,37685857404034;222,17945083978194
181,29520180745337;195,99075713462946;206,1533253499733;223,3999450128572
175,92408524604173;203,45407594875826;201,94569792385994;224,51539833304608
190,4022299393693;197,25696656342524;207,78071291275205;225,5316180610429
194,29491819593298;198,34813637030447;211,49287824575882;226,50731385566655
191,3232400824964;205,3908995312611;208,64065940536318;225,0217443333423
184,61972473280798;200,30454980687838;207,23111035577827;225,91383873875827
191,4079330329178;200,64987210523066;211,32297380514103;226,83025149035188
197,25653206679095;207,09138184962586;214,39058141156454;227,57048142389306
191,24419712637464;201,90714880210763;212,66993713093433;228,30955820835248
185,61888746000318;202,07090706757597;211,2761393360747;228,8471748564441
194,06509240109915;209,06018501117757;213,8389121842219;229,32458985645107
197,61384930385026;203,33013505196257;216,7237477554603;227,89703484364284
192,11972128806232;204,3769361825258;214,24303167218693;228,50023562823273
187,11674886053527;209,46683526013658;214,88274083561546;229,13473717015987
195,60832868627548;204,17469637725785;215,62330301759096;229,75743430385705
199,14626150120796;205,90158828684747;211,02223233471943;230,2865429518757
194,3848316842451;210,95613063727535;215,8816537199243;230,71938169507132
189,82914637562385;207,12145040925463;220,418543355257;231,43077354571793
196,4373884379257;207,49402439091554;217,8894867394915;230,28390532468114
